N     Total_reward  Satisfied_customers  Customers_without_deliveries  Total_time  Total_satisfaction  Wharehouse_visits  Trips
239    841.040062                 16.0                           2.0  723.416667            0.889864               18.0   43.0
240    793.250465                 14.0                           3.0  726.400000            0.833494               17.0   41.0
241    889.465472                 11.0                           0.0  743.433333            0.917457               18.0   44.0
242    865.054421                  6.0                           1.0  754.333333            0.892019               18.0   38.0
243    879.618781                 10.0                           1.0  731.333333            0.920952               18.0   38.0
244    799.293462                 16.0                           3.0  735.200000            0.847425               11.0   83.0
245    775.882531                 13.0                           3.0  725.500000            0.803940               11.0  101.0
246    750.066124                 13.0                           4.0  720.466667            0.784946               11.0   99.0
247    864.250574                  9.0                           1.0  720.333333            0.906999               17.0   37.0
248    871.302668                 11.0                           1.0  721.333333            0.911005               18.0   38.0
249    741.006331                 15.0                           4.0  725.266667            0.773888               11.0   87.0
250    884.398175                 12.0                           1.0  724.333333            0.929672               18.0   38.0
251    886.750153                 16.0                           1.0  727.416667            0.942252               18.0   43.0
252    902.495414                 13.0                           1.0  743.433333            0.933210               18.0   44.0
253    884.296081                 10.0                           1.0  734.433333            0.919926               18.0   44.0
254    837.745242                 14.0                           2.0  721.400000            0.885057               18.0   42.0
255    739.968431                 12.0                           4.0  743.583333            0.772727               11.0  106.0
256    884.529818                 13.0                           1.0  742.416667            0.928778               18.0   43.0
257    882.754500                  9.0                           1.0  731.333333            0.927412               18.0   38.0
258    829.459616                 12.0                           2.0  728.400000            0.870690               18.0   42.0
259    828.251802                 12.0                           2.0  729.400000            0.873120               18.0   42.0
260    868.067285                 10.0                           1.0  734.333333            0.913295               18.0   38.0
261    871.876076                 12.0                           1.0  748.333333            0.922414               19.0   39.0
262    794.974114                 11.0                           3.0  725.383333            0.828897               18.0   41.0
263    825.787137                 12.0                           2.0  740.383333            0.872259               18.0   41.0
264    875.791612                 15.0                           1.0  723.316667            0.924618               12.0   91.0
265    840.513486                 12.0                           2.0  727.416667            0.883988               18.0   43.0
266    880.580118                 12.0                           1.0  730.333333            0.924928               18.0   38.0
267    880.948547                 12.0                           1.0  720.333333            0.923591               18.0   38.0
268    880.119424                 10.0                           1.0  739.333333            0.923004               18.0   38.0
269    878.410682                 12.0                           1.0  754.333333            0.927619               18.0   38.0
270    865.090808                 13.0                           1.0  752.333333            0.922852               19.0   39.0
271    689.340474                 13.0                           5.0  723.500000            0.726744               11.0  101.0
272    736.000844                 10.0                           4.0  730.350000            0.771760               18.0   39.0
273    731.264511                 14.0                           4.0  723.433333            0.774904               11.0   97.0
274    843.877969                 12.0                           2.0  739.400000            0.878505               18.0   42.0
275    853.451331                 15.0                           2.0  745.333333            0.885338               12.0   92.0
276    833.819742                 13.0                           2.0  745.483333            0.884872               11.0  100.0
277    886.891443                 12.0                           1.0  721.333333            0.934236               18.0   38.0
278    877.337992                 11.0                           1.0  734.333333            0.918173               18.0   38.0
279    748.742996                 15.0                           4.0  731.266667            0.790831               11.0   87.0
280    876.408783                 12.0                           1.0  748.333333            0.923225               19.0   39.0
281    789.692121                 10.0                           3.0  740.383333            0.825880               18.0   41.0
282    794.432308                 14.0                           3.0  729.366667            0.836081               18.0   40.0
283    880.118833                 13.0                           1.0  727.333333            0.932445               18.0   38.0
284    839.272187                 11.0                           2.0  737.400000            0.880839               18.0   42.0
285    744.439887                 15.0                           4.0  740.350000            0.785300               12.0   93.0
286    872.323472                  8.0                           1.0  733.333333            0.910834               18.0   38.0
287    871.834621                 15.0                           1.0  749.266667            0.923518               11.0   87.0
288    764.092047                 14.0                           4.0  722.416667            0.799048               12.0   97.0
289    777.792064                 12.0                           3.0  720.633333            0.815589               11.0  109.0
290    878.165870                 12.0                           1.0  749.333333            0.929264               19.0   39.0
291    784.876020                  9.0                           3.0  730.383333            0.819498               18.0   41.0
292    856.900424                 14.0                           2.0  722.400000            0.885794               11.0   95.0
293    829.810176                 11.0                           2.0  728.383333            0.869856               18.0   41.0
294    847.542446                 14.0                           2.0  721.616667            0.880952               12.0  109.0
295    837.937131                 13.0                           2.0  736.400000            0.885057               18.0   42.0
296    833.250007                 14.0                           2.0  735.366667            0.884802               11.0   93.0
297    879.148856                 11.0                           1.0  742.416667            0.926386               18.0   43.0
298    834.056937                 15.0                           2.0  724.250000            0.871456               11.0   86.0
299    879.848177                 12.0                           1.0  755.416667            0.917526               18.0   43.0
300    839.213117                 12.0                           2.0  738.400000            0.879079               18.0   42.0
301    867.043846                 14.0                           1.0  721.333333            0.918919               18.0   38.0
302    865.715013                 10.0                           1.0  733.333333            0.913662               18.0   38.0
303    758.960419                 16.0                           4.0  729.133333            0.792023               11.0   79.0
304    846.502040                  9.0                           2.0  737.416667            0.878558               18.0   43.0
305    795.408349                 14.0                           3.0  723.366667            0.840231               11.0   93.0
306    879.609038                  4.0                           1.0  740.333333            0.903648               18.0   38.0
307    880.404232                 12.0                           1.0  736.333333            0.929991               18.0   38.0
308    937.722484                 14.0                           0.0  741.450000            0.983917               18.0   45.0
309    817.307188                 16.0                           3.0  720.216667            0.852349               12.0   85.0
310    874.746565                  8.0                           1.0  735.333333            0.913251               18.0   38.0
311    879.669067                 15.0                           1.0  720.333333            0.921402               11.0   91.0
312    845.840102                 15.0                           2.0  729.216667            0.890385               11.0   84.0
313    753.430362                 14.0                           4.0  722.400000            0.789625               11.0   95.0
314    876.875426                 10.0                           1.0  738.333333            0.919202               18.0   38.0
315    875.043629                 13.0                           1.0  746.416667            0.924928               18.0   43.0
316    874.459982                 10.0                           1.0  728.333333            0.921588               18.0   38.0
317    893.509952                 15.0                           1.0  727.283333            0.938330               11.0   88.0
318    885.609535                 10.0                           1.0  746.333333            0.928839               18.0   38.0
319    882.885597                 12.0                           1.0  723.333333            0.928977               18.0   38.0
320    871.498364                 14.0                           1.0  731.333333            0.929342               18.0   38.0
321    872.065819                 11.0                           1.0  738.333333            0.910476               18.0   38.0
322    880.424996                 12.0                           1.0  730.333333            0.929389               18.0   38.0
323    861.406107                  8.0                           1.0  747.333333            0.899621               18.0   38.0
324    866.560985                  8.0                           1.0  753.333333            0.899811               19.0   39.0
325    783.606310                 11.0                           3.0  751.400000            0.812854               19.0   43.0
326    834.847908                 16.0                           2.0  723.166667            0.887066               12.0   82.0
327    868.249838                 12.0                           1.0  725.333333            0.915779               18.0   38.0
328    801.778401                 15.0                           3.0  726.300000            0.842360               12.0   90.0
329    730.342699                 14.0                           4.0  740.433333            0.775962               12.0   98.0
330    777.457481                 13.0                           3.0  725.483333            0.824038               11.0  100.0
331    842.823878                 12.0                           2.0  732.416667            0.892100               18.0   43.0
332    874.491792                 17.0                           1.0  722.416667            0.940196               17.0   42.0
333    839.584712                 13.0                           2.0  739.500000            0.878163               11.0  101.0
334    836.072695                  9.0                           2.0  745.416667            0.865784               18.0   43.0
335    743.415543                 14.0                           4.0  721.400000            0.784749               11.0   95.0
336    870.882319                  9.0                           1.0  732.333333            0.903134               18.0   38.0
337    848.663203                 14.0                           2.0  724.416667            0.897241               11.0   96.0
338    791.546257                 11.0                           3.0  731.383333            0.826905               18.0   41.0
339    876.824799                 12.0                           1.0  731.333333            0.921053               18.0   38.0
340    884.300085                  8.0                           1.0  726.333333            0.922127               18.0   38.0
341    885.069457                 13.0                           1.0  723.416667            0.921103               18.0   43.0
342    867.905228                 10.0                           1.0  734.333333            0.912668               18.0   38.0
343    873.247306                 10.0                           1.0  730.333333            0.914393               18.0   38.0
344    797.882180                 15.0                           3.0  724.283333            0.843720               11.0   88.0
345    862.470239                 13.0                           1.0  750.333333            0.919075               19.0   39.0
346    872.184745                 13.0                           1.0  738.333333            0.925359               18.0   38.0
347    863.704685                 12.0                           1.0  725.333333            0.923003               18.0   38.0
348    791.926097                 14.0                           3.0  742.450000            0.837165               12.0   99.0
349    872.412483                  9.0                           1.0  748.333333            0.909438               18.0   38.0
350    782.802266                 11.0                           3.0  726.383333            0.823643               18.0   41.0
351    848.999856                 11.0                           2.0  747.416667            0.884328               18.0   43.0
352    826.557862                  9.0                           2.0  736.400000            0.863039               18.0   42.0
353    744.433771                 14.0                           4.0  747.400000            0.779612               19.0   43.0
354    886.409169                 12.0                           1.0  740.416667            0.926457               18.0   43.0
355    792.322784                 14.0                           3.0  734.383333            0.838991               18.0   41.0
356    757.225326                 15.0                           4.0  734.300000            0.794090               12.0   90.0
357    875.313973                  8.0                           1.0  725.333333            0.917954               17.0   37.0
358    853.640499                 15.0                           2.0  721.400000            0.897901               11.0   95.0
359    881.737878                  6.0                           1.0  720.333333            0.922714               18.0   38.0
360    867.625316                  9.0                           1.0  737.333333            0.904853               18.0   38.0
